season,team1,team2,result,winner
2008,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Kolkata Knight Riders
2008,Chennai Super Kings,Kings XI Punjab,normal,Chennai Super Kings
2008,Rajasthan Royals,Delhi Daredevils,normal,Delhi Daredevils
2008,Mumbai Indians,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2008,Deccan Chargers,Kolkata Knight Riders,normal,Kolkata Knight Riders
2008,Kings XI Punjab,Rajasthan Royals,normal,Rajasthan Royals
2008,Deccan Chargers,Delhi Daredevils,normal,Delhi Daredevils
2008,Chennai Super Kings,Mumbai Indians,normal,Chennai Super Kings
2008,Deccan Chargers,Rajasthan Royals,normal,Rajasthan Royals
2008,Kings XI Punjab,Mumbai Indians,normal,Kings XI Punjab
2008,Royal Challengers Bangalore,Rajasthan Royals,normal,Rajasthan Royals
2008,Kolkata Knight Riders,Chennai Super Kings,normal,Chennai Super Kings
2008,Mumbai Indians,Deccan Chargers,normal,Deccan Chargers
2008,Delhi Daredevils,Kings XI Punjab,normal,Kings XI Punjab
2008,Chennai Super Kings,Royal Challengers Bangalore,normal,Chennai Super Kings
2008,Kolkata Knight Riders,Mumbai Indians,normal,Mumbai Indians
2008,Delhi Daredevils,Royal Challengers Bangalore,normal,Delhi Daredevils
2008,Deccan Chargers,Kings XI Punjab,normal,Kings XI Punjab
2008,Rajasthan Royals,Kolkata Knight Riders,normal,Rajasthan Royals
2008,Chennai Super Kings,Delhi Daredevils,normal,Delhi Daredevils
2008,Deccan Chargers,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2008,Kings XI Punjab,Kolkata Knight Riders,normal,Kings XI Punjab
2008,Mumbai Indians,Delhi Daredevils,normal,Mumbai Indians
2008,Chennai Super Kings,Rajasthan Royals,normal,Rajasthan Royals
2008,Royal Challengers Bangalore,Kings XI Punjab,normal,Kings XI Punjab
2008,Chennai Super Kings,Deccan Chargers,normal,Deccan Chargers
2008,Rajasthan Royals,Mumbai Indians,normal,Mumbai Indians
2008,Delhi Daredevils,Chennai Super Kings,normal,Chennai Super Kings
2008,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Kolkata Knight Riders
2008,Deccan Chargers,Rajasthan Royals,normal,Rajasthan Royals
2008,Royal Challengers Bangalore,Mumbai Indians,normal,Mumbai Indians
2008,Chennai Super Kings,Kings XI Punjab,normal,Chennai Super Kings
2008,Kolkata Knight Riders,Deccan Chargers,normal,Kolkata Knight Riders
2008,Delhi Daredevils,Rajasthan Royals,normal,Rajasthan Royals
2008,Royal Challengers Bangalore,Kings XI Punjab,normal,Kings XI Punjab
2008,Kolkata Knight Riders,Delhi Daredevils,normal,Kolkata Knight Riders
2008,Chennai Super Kings,Mumbai Indians,normal,Mumbai Indians
2008,Kings XI Punjab,Rajasthan Royals,normal,Kings XI Punjab
2008,Delhi Daredevils,Deccan Chargers,normal,Delhi Daredevils
2008,Kolkata Knight Riders,Mumbai Indians,normal,Mumbai Indians
